Front,Back
"Stat Check: What is the cost, power, and counter of Jewelry Bonney?","Name: Jewelry Bonney
Cost: 9
Power: 10000
Counter: 0
Effect: [On Play] If your Leader has the {Egghead} type, this Character gains [Rush] during this turn. Then, your opponent adds 1 card from the top of their Life cards to their hand.
Trigger: [Trigger] If you have 1 or less Life cards, rest up to 1 of your opponent's Characters with a cost of 7 or less."
"Effect Check: Which card has this effect? [On Play] If your Leader has the {Egghead} type, this Character gains [Rush] during this turn. Then, your opponent adds 1 card from the top of their Life cards to their hand.","Name: Jewelry Bonney
Cost: 9
Power: 10000
Counter: 0
Effect: [On Play] If your Leader has the {Egghead} type, this Character gains [Rush] during this turn. Then, your opponent adds 1 card from the top of their Life cards to their hand.
Trigger: [Trigger] If you have 1 or less Life cards, rest up to 1 of your opponent's Characters with a cost of 7 or less."
Trigger Check: What happens if Jewelry Bonney is checked in Life?,"Name: Jewelry Bonney
Cost: 9
Power: 10000
Counter: 0
Effect: [On Play] If your Leader has the {Egghead} type, this Character gains [Rush] during this turn. Then, your opponent adds 1 card from the top of their Life cards to their hand.
Trigger: [Trigger] If you have 1 or less Life cards, rest up to 1 of your opponent's Characters with a cost of 7 or less."
"Stat Check: What is the cost, power, and counter of Eustass Captain Kid?","Name: Eustass Captain Kid
Cost: 8
Power: 9000
Counter: 0
Effect: [On Play] You may rest this Character: Trash up to 1 card from the top of your opponent's Life cards. [End of Your Turn] If your opponent has 2 or less Life cards, draw 1 card and trash 1 card from your hand.
Trigger: "
"Effect Check: Which card has this effect? [On Play] You may rest this Character: Trash up to 1 card from the top of your opponent's Life cards. [End of Your Turn] If your opponent has 2 or less Life cards, draw 1 card and trash 1 card from your hand.","Name: Eustass Captain Kid
Cost: 8
Power: 9000
Counter: 0
Effect: [On Play] You may rest this Character: Trash up to 1 card from the top of your opponent's Life cards. [End of Your Turn] If your opponent has 2 or less Life cards, draw 1 card and trash 1 card from your hand.
Trigger: "
"Stat Check: What is the cost, power, and counter of Monkey D Luffy?","Name: Monkey D Luffy
Cost: 6
Power: 5000
Counter: 0
Effect: [When Attacking] If you have 2 or less Life cards, draw 1 card and trash 1 card from your hand.
Trigger: "
"Effect Check: Which card has this effect? [When Attacking] If you have 2 or less Life cards, draw 1 card and trash 1 card from your hand.","Name: Monkey D Luffy
Cost: 6
Power: 5000
Counter: 0
Effect: [When Attacking] If you have 2 or less Life cards, draw 1 card and trash 1 card from your hand.
Trigger: "
"Stat Check: What is the cost, power, and counter of Jinbe?","Name: Jinbe
Cost: 6
Power: 5000
Counter: 2000
Effect: -
Trigger: [Trigger] If your Leader is [Monkey.D.Luffy], play this card."
Effect Check: Which card has this effect? -,"Name: Jinbe
Cost: 6
Power: 5000
Counter: 2000
Effect: -
Trigger: [Trigger] If your Leader is [Monkey.D.Luffy], play this card."
Trigger Check: What happens if Jinbe is checked in Life?,"Name: Jinbe
Cost: 6
Power: 5000
Counter: 2000
Effect: -
Trigger: [Trigger] If your Leader is [Monkey.D.Luffy], play this card."
"Stat Check: What is the cost, power, and counter of Nico Robin 6 cost?","Name: Nico Robin 6 cost
Cost: 6
Power: 6000
Counter: 1000
Effect: [On Play] If your opponent has 3 or more Life cards, trash up to 1 card from the top of your opponent's Life cards.
Trigger: [Trigger] Play up to 1 yellow Character card with a cost of 3 or less from your hand."
